body_nose_x,body_nose_y,body_nose_z,body_left_eye_inner_x,body_left_eye_inner_y,body_left_eye_inner_z,body_left_eye_x,body_left_eye_y,body_left_eye_z,body_left_eye_outer_x,body_left_eye_outer_y,body_left_eye_outer_z,body_right_eye_inner_x,body_right_eye_inner_y,body_right_eye_inner_z,body_right_eye_x,body_right_eye_y,body_right_eye_z,body_right_eye_outer_x,body_right_eye_outer_y,body_right_eye_outer_z,body_left_ear_x,body_left_ear_y,body_left_ear_z,body_right_ear_x,body_right_ear_y,body_right_ear_z,body_mouth_left_x,body_mouth_left_y,body_mouth_left_z,body_mouth_right_x,body_mouth_right_y,body_mouth_right_z,body_left_shoulder_x,body_left_shoulder_y,body_left_shoulder_z,body_right_shoulder_x,body_right_shoulder_y,body_right_shoulder_z,body_left_elbow_x,body_left_elbow_y,body_left_elbow_z,body_right_elbow_x,body_right_elbow_y,body_right_elbow_z,body_left_wrist_x,body_left_wrist_y,body_left_wrist_z,body_right_wrist_x,body_right_wrist_y,body_right_wrist_z,body_left_pinky_x,body_left_pinky_y,body_left_pinky_z,body_right_pinky_x,body_right_pinky_y,body_right_pinky_z,body_left_index_x,body_left_index_y,body_left_index_z,body_right_index_x,body_right_index_y,body_right_index_z,body_left_thumb_x,body_left_thumb_y,body_left_thumb_z,body_right_thumb_x,body_right_thumb_y,body_right_thumb_z,body_left_hip_x,body_left_hip_y,body_left_hip_z,body_right_hip_x,body_right_hip_y,body_right_hip_z,body_left_knee_x,body_left_knee_y,body_left_knee_z,body_right_knee_x,body_right_knee_y,body_right_knee_z,body_left_ankle_x,body_left_ankle_y,body_left_ankle_z,body_right_ankle_x,body_right_ankle_y,body_right_ankle_z,body_left_heel_x,body_left_heel_y,body_left_heel_z,body_right_heel_x,body_right_heel_y,body_right_heel_z,body_left_foot_index_x,body_left_foot_index_y,body_left_foot_index_z,body_right_foot_index_x,body_right_foot_index_y,body_right_foot_index_z
-781.3406933937057,4779.067542956873,3.4511972616183115,-762.428575357036,4749.669266770479,41.128097823538425,-749.37537396065,4748.082057693965,48.414295659959045,-737.7255916359811,4746.410034462194,55.00913358110434,-785.5643879370899,4762.620845724076,36.821641546362784,-787.6282851478562,4767.483973876905,40.076865863286464,-789.7261924397005,4771.5194548339605,42.78879337956924,-686.8676836788821,4756.582509369758,86.1875447128287,-758.1541135234824,4805.161976803734,72.11149705147986,-740.1020562810071,4792.617317530296,1.32100340204813,-767.4094669405354,4806.792724445611,-5.5298755382196045,-467.71717971648746,4871.925847181006,54.48468195449298,-767.3714161759798,4875.054492487706,13.07170140673703,-308.20904815225964,4636.25280062842,214.9976342135806,-992.7689546236087,4824.530552144759,155.35790210439959,-357.45683048776823,4425.500141891417,370.3211052236329,-1014.5057172685504,4616.681461124081,336.9362161112635,-377.8869476217583,4394.392443202872,406.79364916437345,-1004.4169385438977,4560.253742316842,374.4424212073458,-406.8538099199074,4400.126400955718,406.7845597534895,-971.1913167359295,4539.647948419664,390.7478658430387,-407.5778650311057,4409.5476653692285,383.93963260134063,-968.0658644957864,4558.076062362865,376.10111039338307,-528.4911160860343,4947.468583575665,-575.8810498230044,-728.9524401033941,4939.521117803578,-576.8799103290535,-502.9450236162149,4891.823989165311,-976.2075156781708,-785.574012522584,4926.538050062322,-987.6805670159215,-520.4764751670664,4939.575374551784,-1408.1566737409926,-833.096754664272,4967.594669257423,-1421.8303472937946,-544.7890504566882,5025.8556310627155,-1494.4502796870593,-822.8263006888893,5044.677112794169,-1511.241393716683,-489.4155263954785,4692.879836375444,-1470.6429977485377,-870.0592255338856,4752.941529117344,-1479.4851492583643
-781.0488511904498,4765.364676355004,2.2423139150796807,-768.9101167704586,4740.964748428792,40.74629803004802,-756.0194915166196,4739.4397348649545,48.232522891922585,-744.1714407795071,4738.431310882991,55.175862436958326,-793.8712745223369,4757.335151237437,36.3316031936036,-798.2058355120827,4765.289011304606,39.68769837536061,-802.7293622793951,4772.7460930294055,42.601414282759656,-697.232442498222,4761.822206162968,89.69351770492072,-778.1691436963258,4818.264637411881,72.8835084550506,-739.3921419889772,4776.790482674537,0.2219696798429858,-767.1570909775216,4796.07436531244,-6.593229933459724,-480.2963299515255,4887.572958760914,58.77250438321266,-791.3520721818207,4897.878601728753,17.68631364830138,-308.78948865730933,4636.686795173277,214.3966564853453,-1006.1176914281965,4821.435897102043,155.79952708752842,-358.7880870829932,4426.974476884693,371.5526799338343,-1024.220884800736,4603.921404012095,334.9523534831493,-378.02504864323623,4393.451405803746,407.77997815499634,-1024.9484172229586,4569.801992871004,374.3942045866091,-406.92087075881426,4399.909801140817,407.17532848826494,-987.661654019189,4539.745781422142,389.2282891951902,-407.9771898696535,4409.830231733922,384.75715961445167,-979.903557288237,4547.758139393102,373.70980473583757,-523.7241745905106,4945.031643916905,-570.3081925121463,-724.5891176942614,4934.833217731904,-571.3295607540109,-502.9415223426752,4890.864663344828,-976.9572571823298,-784.6666550116569,4921.502565385654,-982.7859954036121,-520.9060680411733,4937.865428671717,-1408.0968724491454,-834.3377190336035,4968.8683851819305,-1421.482808057997,-546.6609963002506,5027.497502034907,-1494.8963695344044,-825.1051909391267,5041.236860971876,-1508.6340114506186,-488.9258556330342,4689.24797312832,-1469.048246580555,-873.6559891107197,4755.260904330054,-1478.395560196217
-780.8896557827784,4750.05596403447,2.093109501098594,-773.1633103033573,4728.830754265704,41.12475772842978,-759.8467085285257,4726.265085830459,48.71261742566157,-747.6297275942743,4725.0077362649645,55.854368143897275,-799.8997267931059,4748.017597678528,36.57010642119651,-805.6534301806198,4757.60983979621,39.931932668989,-811.7680270405031,4767.0367737300785,42.92100134944594,-705.0417230120191,4758.921246690984,93.44242643404378,-790.6168427803962,4818.447912256159,73.78839673860215,-738.3518858372277,4760.060255906539,0.05313286109013855,-766.9606206774328,4782.617949570122,-6.756361407379754,-492.539402683384,4897.153872300611,62.393493106513674,-810.9272789794987,4908.105030573469,20.89675843842239,-311.7422079158475,4639.490823180188,214.45412953936486,-1020.202027477151,4809.701575041763,154.992297078646,-362.11946962149045,4429.820273287581,372.3842908178015,-1037.8277331025092,4592.370292454811,331.4894147884449,-380.93719771472803,4393.32315576827,408.5002237852604,-1046.682434178204,4571.82007093667,371.6670455791327,-409.158084479847,4399.42264394042,407.39342472630307,-1008.8833119551497,4537.923655526323,385.89119416741266,-410.3415127656797,4409.732702350073,385.23646209006165,-997.6092723499863,4538.508047156402,370.0225059420539,-521.5543118409181,4940.46975882372,-565.1785156382408,-722.226277107637,4928.598066680227,-567.0381355690415,-504.6110738616003,4889.089722663852,-976.6102743981592,-785.3076688264671,4921.481449940951,-981.1209985003555,-521.6080284597209,4936.791670254473,-1406.5178781761547,-834.7547800213827,4971.687806882204,-1421.47895962589,-547.3694005608913,5027.350365507661,-1492.1710518707528,-825.2237801784369,5039.051999793764,-1506.5203533665258,-488.96338032195405,4688.137412815437,-1468.6586877513482,-876.5796154635851,4758.19303167022,-1478.2208106414826
-781.7233341575535,4733.385304775331,2.6984681373588963,-776.1641375232297,4714.383640694846,41.99310894604001,-762.1570833502909,4710.161193521741,49.657447234588886,-749.6258542508458,4707.9104714888645,56.92389077309335,-804.1604409606381,4735.412761959701,37.27650016465737,-810.3413587917422,4745.212870302423,40.605161969849156,-817.0109768815482,4755.069815107378,43.6051476829979,-711.5514809813768,4749.269151651511,97.25387569357527,-795.9236674839398,4807.258880623828,74.89029237701156,-738.0327260891796,4742.487244078662,0.5013157572650548,-767.9050395310312,4766.758821354118,-6.281939810367963,-504.5735000357643,4899.96451086452,65.24807710860782,-824.7517094796068,4904.817136147484,22.3521638704671,-317.980250622512,4645.197915415844,215.30980882174674,-1034.271426757963,4791.85248783677,152.32007414496152,-369.23868088672936,4435.15654475259,373.0900305923143,-1054.600723275691,4584.163866350487,326.78596183076314,-388.41551467964905,4395.6719717729,409.19237248284674,-1066.9259473625534,4567.501667096593,366.7105070571727,-415.19106402821893,4399.963654424899,407.6490545085025,-1032.0988301770908,4536.37667939277,381.3388163405026,-416.3244582816877,4410.589879570059,385.6188191122594,-1019.3502290170536,4533.523273822252,365.67967478115725,-522.9243050932286,4934.578099130798,-561.620956672572,-723.1111696279805,4921.976133188876,-564.8610122646854,-507.8865329393738,4885.518989472927,-975.8073245875312,-788.5636354167473,4927.4836216838285,-982.7116068369071,-522.4085092544685,4936.356474662158,-1403.9887523894265,-834.3235305605294,4975.73457764293,-1421.788013373638,-547.01075270944,5025.565082056821,-1487.5078158431272,-822.6044395357416,5037.955744422142,-1504.9379720282523,-489.0411945153677,4689.297339812463,-1469.3036950505325,-879.5721806892318,4762.599813163959,-1479.4367793479387
-785.9064447007132,4720.410089587382,2.7851795082717015,-781.6949064513379,4703.871919803209,42.68557732804248,-767.5043985650134,4698.729150873999,50.541409049888244,-755.0902857052293,4695.731870947807,57.993366888629154,-809.7835985413133,4725.6022589003005,37.66067702746784,-815.781941604775,4735.163763025993,41.00214375851754,-822.3373453044353,4744.822622561136,44.062630343871035,-720.4562875939679,4741.640754172586,100.58548471058631,-800.7182166756583,4797.142699257823,76.17592102349607,-741.675150327931,4728.969448831946,0.5449637129614086,-772.5511268782583,4754.4357372013255,-6.191005704185442,-517.2981375034899,4900.837685918421,67.8689707987059,-835.9890498692397,4899.152186681233,22.698495930986894,-326.9127973579048,4652.780537228593,216.66821731666636,-1047.7935608143723,4778.5508722168015,148.2593023013718,-380.9042581984424,4443.891582707029,374.3272433851814,-1070.363937842996,4580.6009348082835,321.52491890153533,-399.91612299077053,4401.49351063115,410.4128008128619,-1082.3591439311108,4563.3966272444695,361.5899732562403,-425.11491086968454,4403.633956661513,408.34514213097646,-1050.8283660219108,4537.726611456862,377.08969533588373,-426.5484523109477,4415.204773951726,386.5070663974848,-1038.229823983408,4534.076331419194,361.6449086841266,-527.8493938713515,4931.838549596345,-560.3565633297659,-728.8406374426572,4920.444992094724,-564.9356398388139,-511.5644070459238,4880.493771007336,-976.0040611450596,-794.4152606629519,4937.222148609374,-985.620376965998,-522.947147050651,4936.159653310454,-1402.3306664401596,-833.6702236919095,4978.977953412724,-1422.1224672192557,-546.5503955540545,5024.065001372489,-1484.5171808426057,-818.649695308474,5036.396775857705,-1503.604361351696,-488.21507559570335,4690.285962997773,-1469.8340015863328,-883.6650573668353,4768.4947116011435,-1481.7309656723608
-795.5817565020593,4717.972497171759,2.6072534474754083,-792.2978784786985,4703.141336740577,44.09586081395545,-778.6609826849672,4698.433582613359,52.20646019072284,-766.8515547723177,4695.719239217686,59.808270035324334,-819.2273329571266,4724.38767778298,38.35022329986694,-824.8711990878883,4734.003290574899,41.602672062085645,-831.1850784221472,4743.6951989606405,44.621198979994496,-733.2647281189617,4742.274096781228,103.48829642739675,-810.458350438001,4797.520150524985,77.81183880301714,-752.0889519148718,4727.030613094218,0.5232460579078119,-782.8628358147988,4753.117502828178,-6.4089229434500385,-531.9860545546748,4905.616972881498,70.68755394511444,-849.1216344864727,4901.539963505334,22.420742934017007,-337.60780884575973,4661.604569240105,218.31209372027254,-1061.701468175293,4777.0350266299565,143.92280535167535,-395.3638659020145,4455.497273763284,376.25675840827626,-1082.0880170517478,4580.588651579151,315.38497618201427,-412.49055212742314,4409.113950917001,412.305772198562,-1093.3800844677044,4563.047165365412,357.02319515980577,-436.9052579240936,4410.534686901902,409.5061856192343,-1062.8781563655002,4540.634036375597,373.16354574587217,-439.50680025748545,4424.563067247736,388.08261660430964,-1050.2632045201763,4536.610903232172,357.2854808211921,-536.8554324132638,4937.134906120929,-560.7601502124353,-740.8742470840965,4929.585765350941,-566.6936363963466,-515.3577951954201,4876.790292539709,-977.69492301455,-801.561954160144,4948.196359726583,-989.0479176626632,-523.2244248811253,4936.081796166749,-1402.3664161631937,-833.2535501026587,4979.684622091351,-1422.3067955775418,-546.5785819102778,5024.59788023733,-1484.5396495200464,-815.3301665781588,5032.552376936593,-1502.1703276767885,-486.3165054877158,4689.479562908424,-1469.7024266177807,-888.3853639365561,4774.2716130637655,-1484.132076451197
-808.9355399162678,4724.801849102865,5.577733232667263,-805.5138503541666,4710.061492280202,49.113988363010286,-792.6946178592996,4706.713165121733,57.28290989954502,-781.6249609549179,4705.258152362218,64.76592583752878,-831.1454103879481,4730.098569913635,42.25773201799505,-836.7535890984574,4740.327779343875,45.02023905060961,-843.2024001802956,4750.712591095687,47.54749674263613,-746.9117327557377,4748.797775256573,107.44073504800485,-825.2905255578199,4807.280656024786,80.54261967047272,-766.9898045865881,4735.76780161533,3.1333110491622422,-796.9715877391751,4761.659711176531,-4.6231681117050725,-548.5878015724496,4915.242169974433,73.32657686074165,-864.3476417573273,4909.695623214479,21.09636369324055,-349.5874690277137,4672.153712836704,220.32512700004355,-1076.1035852161624,4784.865550899228,140.00942998848078,-408.17116978144446,4466.322988414665,378.22365254980747,-1090.1447788256646,4581.497384775196,308.24385693584134,-422.651848995371,4414.916968100542,414.2380569620929,-1102.0149013146522,4564.163589280304,352.41321406759056,-447.19708390444515,4417.319109479803,410.6455902284355,-1070.7560486493576,4541.4831381296535,368.6275742387386,-451.41218061808473,4434.80490462944,389.79601402841377,-1057.0045212332252,4536.579468879176,351.66774156995757,-550.145716200433,4950.020477302401,-561.6459685885136,-757.2955566351101,4947.19544157742,-569.0763756767418,-520.2159222624897,4876.9326537050765,-980.1234373706383,-808.1886455692281,4958.570881446255,-993.2852423397147,-523.58690803139,4936.373478774827,-1403.2702302978755,-833.0013325230229,4978.080267954047,-1422.3613459824905,-546.9309205572631,5027.2487273472025,-1485.969916057073,-813.382743299689,5025.881487164076,-1500.3121724845935,-484.040639211623,4687.65097940782,-1469.5054817619016,-892.0904246465723,4777.929261054068,-1485.7054402933334
-820.4091048202623,4729.954555845023,15.78552990538615,-815.4299451465424,4715.1482323413675,60.13004716705824,-803.0739012292852,4713.1812448687215,68.01722240900872,-792.3906929223497,4713.145490166504,75.1068060571681,-841.4444925495186,4734.7340763821485,52.29482414440345,-847.790743639773,4746.05845482953,54.172609083037955,-854.9909341231723,4757.650395035486,55.752748967913256,-756.2893001036678,4753.533440007069,114.49925262396542,-840.9294675903344,4818.100003571147,85.75516742621551,-779.6213774908704,4743.2249573476165,11.519477725719872,-809.9623660074787,4768.930471729337,2.2974529883641126,-564.3519186399993,4923.912281990994,74.9816826208281,-877.2165868843153,4912.994001334701,18.305376378822555,-362.388945652271,4684.050924893939,222.81543379063635,-1088.484567456298,4792.810835896028,136.61863252515067,-415.3986433083693,4471.547758389566,379.4564276480006,-1096.6444754840988,4580.532535540307,301.40004089892926,-428.5638830398681,4416.629554152654,415.4236364743627,-1108.008713699626,4561.309623957902,347.44375766716433,-453.41048477361505,4420.028459591986,411.37096173576504,-1076.7083015543096,4537.938243704694,363.40678083189533,-458.59288978120503,4439.956765437614,391.02322236742447,-1061.9540916744918,4532.876017386168,345.46040653606707,-565.5648940572239,4962.914988683811,-562.1243899187974,-772.5713141510357,4962.99832205921,-570.8009166393027,-526.4811050901656,4879.492762240269,-982.1416878328699,-813.3007344076256,4966.573979119916,-997.3902381378908,-524.2347324052674,4937.18623730818,-1403.8364264438887,-832.7450365529381,4975.9280641685045,-1422.334369616344,-547.263775958035,5030.957133564454,-1487.0767778488423,-812.2687122903135,5018.21868879093,-1498.0696919273928,-482.030461066269,4686.712623133043,-1469.9056397962004,-893.9103003707481,4779.079626875007,-1486.2951331390593
-826.4326232112542,4726.186469106791,33.793144186221866,-818.9947568676023,4712.2210482787805,76.82427693740343,-806.5525623567567,4710.873582011201,84.29471695646527,-795.6880165754955,4711.5215025626985,90.99312060411816,-847.7259336504736,4733.870083114955,68.51725131823945,-855.4059103101638,4746.344443128502,69.51574481367346,-863.6901899360519,4758.951343682719,70.15847900927356,-759.2718594229252,4751.651121547398,125.54078648775366,-852.4439125062705,4823.407674302001,94.82056324458931,-785.8037674063827,4740.885801795404,26.45567329268043,-818.6763784969875,4767.357574714577,15.59481682632721,-575.7336190602049,4925.5239263167205,75.46861659052286,-884.5440511835627,4907.241132453332,14.89747867944088,-374.8450485383096,4694.324716955061,225.70201759674256,-1096.3654783388647,4792.775425337711,133.9180506770132,-417.7308366861261,4470.232764815162,379.91555785655316,-1102.660626122678,4575.8622246337,296.3217917380857,-431.31777682662465,4415.679663905801,415.79431042279793,-1110.2379886228994,4551.008487597676,342.4394695138164,-456.02319202130417,4418.693227054451,411.7951904878083,-1081.0502636156311,4530.099659236129,358.37388338747314,-461.03372887230154,4438.695988491797,391.73611030795803,-1067.0224282811646,4527.423946290497,340.1973598063426,-579.3902327235285,4967.693942395304,-561.5123757801116,-782.5516772916791,4968.352677588624,-570.8786485131817,-533.0669613284439,4880.729900733352,-983.1568315004697,-817.5458333804714,4971.743711331114,-999.4486350297301,-525.0359216604047,4938.41254540011,-1403.8371620161336,-832.5884305974205,4974.694321309374,-1422.2952582178787,-547.4745177887575,5034.953392064711,-1487.8471985471347,-811.4704061659705,5012.514353365126,-1496.106955087479,-480.4294447098488,4688.115084626236,-1470.8703745326857,-894.7561653099121,4779.331339378156,-1486.6008625413829
-828.5380042467546,4718.552286164075,56.21063450321541,-819.027613791069,4705.05077070468,97.18460012370176,-806.3582629027701,4703.655082923017,104.42165430355074,-795.0242563475813,4704.112431474449,110.9300402027567,-851.0818834684821,4730.956732483338,88.48895984813763,-859.7762108605293,4744.360694697698,88.82206295257816,-868.8379206228221,4757.322640849606,88.80422715674568,-758.496456118524,4744.990053503879,139.7352574505025,-858.2777346769458,4824.191977697178,107.83233198109895,-787.6156232099526,4733.690152729269,45.79122848110043,-823.5325326007328,4761.866990690124,33.58497533459484,-582.2425167968179,4921.267978898814,75.57797384126508,-888.0430836994167,4898.834949219919,12.318741278059894,-385.51350418489943,4699.820781685055,228.82574865405968,-1100.9417978616389,4784.914319774987,132.27893267335682,-419.88160055067675,4466.624545205092,380.13419280778174,-1107.6941958954615,4568.1544838155905,293.55044479919115,-434.4016579347816,4415.766830852264,415.8630136963281,-1110.1686352394627,4535.7039701512,338.30462445894295,-458.5451129744742,4417.629251253991,412.0669718823854,-1084.0104967018544,4520.002901991804,354.6300281145435,-462.7070704504793,4436.106755810401,392.16115647527556,-1072.0699673222862,4522.220954039657,336.9048786466314,-590.008559316723,4964.471088652323,-559.5822542557175,-788.1125259322745,4963.429530776246,-569.2520366591681,-538.8376435223872,4879.525922656119,-983.4399646648294,-822.7109408123553,4976.598035307112,-999.5827423805947,-525.8155137975581,4939.8284550418275,-1403.990817698545,-832.6732904437097,4974.474301711899,-1422.4247693523303,-547.607599535649,5038.925201374451,-1489.1850204263037,-811.010477282543,5009.926417070391,-1495.0931857776936,-479.08739747484327,4692.167081125265,-1472.1456806679157,-895.7846911682797,4780.135820238423,-1487.245742003909
