Recorded at;2017-11-28 14:46:47
Frames;178
;;;CenterOfGravity;;;LWristPositions;;;LWristAngles;;;LElbowPositions;;;LElbowAngles;;;LShoulderPositions;;;LShoulderAngles;;;RWristPositions;;;RWristAngles;;;RElbowPositions;;;RElbowAngles;;;RShoulderPositions;;;RShoulderAngles;;;LToePositions;;;LToeAngles;;;LAnklePositions;;;LAnkleAngles;;;LKneePositions;;;LKneeAngles;;;LHipPositions;;;LHipAngles;;;RToePositions;;;RToeAngles;;;RAnklePositions;;;RAnkleAngles;;;RKneePositions;;;RKneeAngles;;;RHipPositions;;;RHipAngles;;;Frontal Plane Knee Angle;;Frontal Plane Projection Angle;;Left Toe Out;Right Toe Out;Knee Hip Ratio;Knee Ankle Ratio;Left Varus/Valgus;Right Varus/Valgus;
Frame;Sub Frame;Annotations;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;Left;Right;Left;Right;;;;
;;;mm;mm;mm;mm;mm;mm;deg;deg;deg;mm;mm;mm;deg;deg;deg;mm;mm;mm;deg;deg;deg;mm;mm;mm;deg;deg;deg;mm;mm;mm;deg;deg;deg;mm;mm;mm;deg;deg;deg;mm;mm;mm;deg;deg;deg;mm;mm;mm;deg;deg;deg;mm;mm;mm;deg;deg;deg;mm;mm;mm;deg;deg;deg;mm;mm;mm;deg;deg;deg;mm;mm;mm;deg;deg;deg;mm;mm;mm;deg;deg;deg;mm;mm;mm;deg;deg;deg;deg;deg;deg;deg;deg;deg;Ratio;Ratio;deg;deg;
10;0;;-526.270996; 921.510254;-494.740265;-762.357605; 741.620728;-551.022034; 0.100220;-0.232154; 0.128350;-743.370178; 986.045898;-516.927246; 0.000000; 2.916523; 0.000000;-661.655884; 1285.646240;-512.410339; 178.684357; 158.780319; 120.783669;-283.920380; 735.087524;-502.008148;-0.041349;-0.145196; 0.222398;-322.301392; 977.611267;-470.770233; 0.000000; 2.931306; 0.000000;-417.792664; 1273.105469;-475.525360; 73.005020;-52.497784; 85.655159; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000;-577.564453; 23.504120;-386.397888; 40.546566; 19.289543;-13.364561;-586.831726; 386.248505;-486.629822;-11.669733; 0.000000; 0.000000;-600.149170; 754.078064;-510.994690;-5.088243; 4.733997;-11.028857; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000;-418.786835; 25.095856;-383.441406; 29.997925; 18.247026; 18.343437;-422.068848; 391.958984;-467.800568;-10.377066; 0.000000;-0.000000;-444.206299; 759.668579;-487.015839;-4.545043; 2.266134; 10.519936; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000;
11;0;;-527.428589; 921.358521;-495.236572;-762.442688; 741.455505;-554.470215; 0.110606;-0.254263; 0.118440;-743.904663; 985.904297;-520.297852; 0.000000; 2.920111; 0.000000;-662.931702; 1285.672241;-513.934082; 177.778046; 159.777603; 118.733459;-286.948608; 733.930176;-506.066284;-0.036159;-0.151852; 0.226115;-324.418091; 976.714722;-475.762207; 0.000000; 2.938953; 0.000000;-418.434296; 1272.706787;-478.524139; 72.457680;-52.404987; 84.911194; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000;-578.424927; 24.269653;-385.732452; 40.233990; 19.259956;-12.805285;-587.680054; 386.097900;-489.223480;-12.762933; 0.000000; 0.000000;-601.978516; 754.115479;-509.915985;-4.752921; 4.887208;-11.609052; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000;-418.026215; 24.590332;-387.125977; 30.078587; 18.294376; 17.359375;-423.068878; 391.590179;-470.800934;-10.454506; 0.000000;-0.000000;-445.657654; 759.350830;-488.449951;-4.634692; 2.138445; 10.779865; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000;
12;0;;-528.728577; 921.130554;-496.092896;-763.289795; 740.693665;-555.468567; 0.121673;-0.270941; 0.106929;-744.795105; 985.285522;-522.311768; 0.000000; 2.925636; 0.000000;-664.726562; 1285.283081;-515.350769; 177.119568; 160.770905; 116.568130;-289.588867; 733.167603;-511.435638;-0.030944;-0.165904; 0.231810;-325.879913; 976.078247;-480.711090; 0.000000; 2.939048; 0.000000;-419.712921; 1272.140625;-481.336121; 71.618271;-51.990646; 84.040298; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000;-578.577881; 25.149933;-385.418427; 40.069798; 19.256599;-12.205859;-588.099609; 385.872131;-492.677948;-13.894832; 0.000000; 0.000000;-603.588257; 754.016907;-509.973297;-4.696699; 5.012174;-12.241552; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000;-417.684082; 24.571259;-389.106995; 30.218420; 18.347658; 16.167074;-424.195953; 391.370819;-473.554840;-10.511210; 0.000000;-0.000000;-446.909546; 759.120972;-491.260803;-5.199222; 2.109739; 10.962496; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000;
13;0;;-530.303406; 920.955872;-496.897736;-764.035706; 740.182617;-558.278809; 0.130255;-0.284101; 0.094994;-745.893677; 984.777039;-524.945862; 0.000000; 2.930571; 0.000000;-666.990173; 1285.031738;-516.037415; 176.146484; 161.957703; 113.640457;-292.045105; 733.236572;-522.032715;-0.023323;-0.179999; 0.237791;-327.818634; 975.697021;-487.394379; 0.000000; 2.936352; 0.000000;-421.277771; 1271.861572;-484.239227; 70.533386;-51.707623; 83.162674; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000;-578.990112; 25.653107;-384.896667; 40.121292; 19.237455;-11.514231;-589.156372; 385.629272;-494.576263;-14.683555; 0.000000; 0.000000;-605.437988; 753.852905;-509.269470;-4.610877; 5.033919;-12.895012; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000;-417.353729; 24.945099;-388.497986; 30.401903; 18.426737; 15.052792;-425.626312; 391.336548;-474.548401;-10.462142; 0.000000;-0.000000;-448.407745; 759.005005;-493.797424;-5.806542; 2.141661; 11.223832; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000;
14;0;;-532.279724; 920.812378;-498.065521;-764.038391; 740.056580;-568.774170; 0.137803;-0.295162; 0.083343;-746.699219; 983.984619;-530.497253; 0.000000; 2.933161; 0.000000;-670.171875; 1284.651855;-516.326721; 174.407791; 163.332550; 109.577400;-293.571106; 733.343201;-531.619385;-0.010702;-0.199706; 0.242540;-331.050446; 975.517212;-496.781128; 0.000000; 2.953916; 0.000000;-423.649414; 1271.852417;-488.479919; 69.318413;-52.452915; 81.999466; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000;-578.914612; 26.004181;-383.835938; 40.240871; 19.225954;-10.698822;-590.326233; 385.385071;-495.330170;-15.243548; 0.000000; 0.000000;-607.533264; 753.633057;-508.252075;-4.478804; 5.050488;-13.527703; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000;-417.279297; 25.193451;-389.253967; 30.525669; 18.477772; 13.759586;-427.405121; 391.347260;-476.113892;-10.408731; 0.000000;-0.000000;-450.213196; 758.971741;-496.155640;-6.107703; 2.254762; 11.558620; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000;
15;0;;-533.829285; 920.734863;-499.140442;-764.429321; 739.633240;-576.304810; 0.146022;-0.309681; 0.071835;-746.577698; 983.154663;-535.742676; 0.000000; 2.945280; 0.000000;-672.663696; 1284.222900;-516.964294; 172.800827; 164.729324; 105.834778;-295.605011; 733.434082;-542.633118; 0.002589;-0.217994; 0.248387;-334.328064; 975.245850;-506.657684; 0.000000; 2.969908; 0.000000;-425.604858; 1271.774170;-492.604858; 68.178993;-53.230320; 81.036850; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000;-578.566467; 26.837128;-382.433899; 39.875381; 19.194508;-10.136876;-591.117004; 385.297302;-496.734253;-16.063457; 0.000000; 0.000000;-609.271851; 753.576599;-507.240417;-4.267709; 5.123277;-14.043370; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000;-418.399231; 25.257294;-390.789307; 30.595856; 18.493048; 12.457133;-429.638947; 391.336548;-477.826324;-10.315211; 0.000000;-0.000000;-451.740967; 758.978271;-498.337219;-6.376877; 2.444995; 11.963933; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000;
16;0;;-536.343262; 920.232483;-502.371887;-766.013550; 738.994751;-588.787109; 0.156900;-0.322032; 0.062907;-747.887390; 982.288879;-547.001404; 0.000000; 2.960045; 0.000000;-676.133057; 1283.425537;-521.981140; 171.002441; 165.898514; 102.607079;-297.268738; 733.544434;-553.688354; 0.011559;-0.233196; 0.254325;-337.216644; 975.112793;-517.418579; 0.000000; 2.980160; 0.000000;-428.847961; 1271.296631;-499.066528; 66.941704;-53.326485; 80.067841; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000;-578.289429; 27.297302;-380.190338; 39.776596; 19.213484;-9.467636;-592.656616; 384.769257;-497.336243;-16.668627; 0.000000; 0.000000;-612.110840; 753.009277;-506.844940;-3.839785; 5.253382;-14.437393; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000;-419.432281; 24.447784;-396.430206; 30.590000; 18.450970; 11.167445;-432.204742; 390.813446;-482.038849;-10.328216; 0.000000;-0.000000;-454.448090; 758.539001;-500.820129;-5.878041; 2.537330; 12.109538; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000;
17;0;;-538.240601; 920.215088;-504.063171;-769.591187; 740.027649;-599.702759; 0.170800;-0.326981; 0.056763;-750.214417; 982.610474;-554.484131; 0.000000; 2.969523; 0.000000;-678.957520; 1283.244507;-522.867859; 168.988342; 166.876160; 99.088058;-298.451050; 735.746216;-571.757324; 0.016054;-0.237589; 0.258495;-338.616974; 976.120605;-528.473999; 0.000000; 2.976287; 0.000000;-431.341125; 1271.385010;-502.414124; 65.091942;-53.333389; 79.126167; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000;-577.490601; 27.685638;-379.736145; 39.629055; 19.182234;-8.959188;-593.859802; 384.659515;-498.131561;-17.294134; 0.000000; 0.000000;-614.235718; 752.911011;-504.858337;-3.172169; 5.381365;-14.745482; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000;-419.798553; 24.297302;-399.550598; 30.749065; 18.476526; 10.115911;-434.330017; 390.579895;-485.234131;-10.592107; 0.000000;-0.000000;-456.479858; 758.401733;-502.147949;-5.397228; 2.603940; 12.417879; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000;
18;0;;-540.693787; 920.225586;-505.561096;-780.112549; 742.796143;-611.497925; 0.180406;-0.324619; 0.048461;-755.917175; 984.203003;-562.467651; 0.000000; 2.979431; 0.000000;-681.767334; 1283.518188;-525.450317; 167.682266; 166.831314; 97.666542;-300.733948; 736.661438;-584.287109; 0.023314;-0.234235; 0.260879;-340.949371; 976.432861;-537.821472; 0.000000; 2.979895; 0.000000;-433.952759; 1270.972046;-505.339783; 64.439651;-52.828575; 79.646378; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000;-578.429993; 27.885437;-380.222382; 39.457348; 19.139767;-8.454941;-595.761169; 384.527557;-499.477814;-17.949314; 0.000000; 0.000000;-616.819092; 752.786621;-502.863953;-2.329366; 5.457861;-14.920218; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000;-419.853119; 24.570801;-400.860291; 30.819490; 18.484327; 9.063561;-436.424652; 390.408661;-488.060303;-11.285290; 0.000000;-0.000000;-459.044983; 758.331543;-501.868805;-4.633498; 2.581610; 12.845961; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000;
19;0;;-542.791443; 920.562744;-508.614288;-784.369751; 745.278809;-626.321533; 0.186546;-0.326181; 0.038869;-759.697754; 985.793518;-573.306152; 0.000000; 2.979907; 0.000000;-684.036804; 1283.769409;-529.217346; 166.135239; 166.957687; 95.987556;-303.415924; 739.665100;-605.454468; 0.029395;-0.220931; 0.263263;-342.266785; 977.698242;-549.799316; 0.000000; 2.968413; 0.000000;-436.351685; 1270.747192;-508.225555; 63.913784;-51.899372; 81.012215; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000;-577.944275; 28.414642;-380.191589; 39.177628; 19.185032;-8.040402;-596.787048; 384.749268;-500.134796;-18.308268; 0.000000; 0.000000;-619.171570; 752.941284;-501.913788;-1.714077; 5.678868;-15.161514; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000;-419.816498; 28.327972;-399.814453; 31.610775; 18.563490; 8.170047;-439.304047; 390.250549;-501.540161;-15.560947; 0.000000;-0.000000;-461.393982; 758.463867;-502.315582;-2.296477; 2.673482; 13.245444; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000;
